ticker,company,asset,indication,stage,anchor,conf,pres_type,year,parsed_outcome,price_at_catalyst,btd,orphan,priority_review,fast_track,accelerated_approval,gene_therapy,surrogate_endpoint,single_arm_study,safety_signal_severity,ta_bucket_v2,ta_base_score,historical_crl_rate,sponsor_prior_approvals,had_adcom,ppm_flag,src,cap_tier,Drug,Indication,market_cap,size_tier,ta,key,mcap_fmp,si_t1_days_to_cover,si_t1_short_to_adv,si_t1_change_pct,cap_tier_final,conf_full,runup_30d,runup_20d,runup_10d,runup_5d,event_day,post_5d,post_10d,cap_tier_pit,mcap_pit
MRK,Merck & Company Inc.,EVX-01 + KEYTRUDA (pembrolizumab) / OPDIVO (nivolumab),Metastatic Melanoma,Phase 2b,2024-05-23,ASCO,unspecified,2024,UNKNOWN,129.46,,,,,,,,,,,,,,,,backtest,,,,,,,MRK|2024-05-23,251883360000.0,2.98,2.977290386843089,8.06,large,,3.92,0.29,0.67,0.17,-1.23,-4.24,-0.33,large,332050922306.7229
IMMX,Immix Biopharma Inc.,NXC-201 (HBI10101) - (NEXICART-1),relapsed/refractory multiple myeloma and relapsed/refractory AL amyloidosis,Phase 1/2,2024-05-10,ASGCT,unspecified,2024,UNKNOWN,2.18,,,,,,,,,,,,,,,,backtest,,,,,,,IMMX|2024-05-10,,,,,,,-28.99,-21.01,2.35,-7.23,-0.92,13.3,3.21,micro,57583175.763344765
FATE,Fate Therapeutics Inc.,FT819,B-cell Leukemias and Lymphomas,Phase 1b,2024-05-09,ASGCT,unspecified,2024,UNKNOWN,3.9,,,,,,,,,,,,,,,,backtest,,,,,,,FATE|2024-05-09,,,,,,,-49.59,-37.82,-4.39,-9.76,10.27,11.89,-7.3,small,421178290.72793126
FDMT,4D Molecular Therapeutics Inc.,4D-150 - (PRISM),Wet age-related macular degeneration (AMD),Phase 2,2024-05-09,ARVO,unspecified,2024,UNKNOWN,25.64,,,,,,,,,,,,,,,,backtest,,,,,,,FDMT|2024-05-09,,,,,,,-26.6,-4.95,11.9,-0.19,-2.39,-2.62,-4.48,small,1346974022.137001
REGN,Regeneron Pharmaceuticals Inc.,Otoferlin gene therapy (DB-OTO) - (CHORD),Genetic hearing loss,Phase 1/2,2024-05-08,ASGCT,unspecified,2024,UNKNOWN,955.76,,,,,,,,,,,,,,,,backtest,,,,,,,REGN|2024-05-08,76860407000.0,,,,large,,0.67,3.61,7.0,7.36,-0.2,0.85,1.43,large,91575275231.37964
ANNX,Annexon Inc.,ANX007 - (ARCHER-II),Geographic atrophy,Phase 2,2024-05-07,ARVO,unspecified,2024,UNKNOWN,4.73,,,,,,,,,,,,,,,,backtest,,,,,,,ANNX|2024-05-07,,3.64,3.637053588372047,45.75,,,-27.56,-22.79,8.33,5.71,1.25,0.21,-0.21,small,376955361.7056842
VTRS,Viatris Inc.,APX3330 Oral Pill - (ZETA-1),Diabetic Retinopathy (DR) / Macular Edema (DME),Phase 2,2024-05-05,ARVO,unspecified,2024,UNKNOWN,11.57,,,,,,,,,,,,,,,,backtest,,,,,,,VTRS|2024-05-05,14856585000.0,,,,large,,-0.51,0.26,4.71,0.0,-0.51,-3.57,-6.03,large,14026002742.27884
ACRV,Acrivon Therapeutics Inc.,ACR-368,"Platinum-resistant ovarian,(PROC) endometrial, and urothelial cancers",Phase 2b,2024-04-24,ACR,unspecified,2024,UNKNOWN,9.5,,,,,,,,,,,,,,,,backtest,,,,,,,ACRV|2024-04-24,,,,,,,96.79,55.13,-5.49,-5.03,-13.75,-16.19,-16.19,micro,222300626.0715713
NRSN,NeuroSense Therapeutics Ltd.,PrimeC - (PARADIGM),Amyotrophic Lateral Sclerosis (ALS),Phase 2b,2024-04-18,AAN,unspecified,2024,POSITIVE,1.52,,,,,,,,,,,,,,,,backtest,,,,,,,NRSN|2024-04-18,,,,,,,-23.08,-4.19,-22.33,-4.76,-11.25,-21.25,-20.63,nano,24606467.56666493
PBLA,Panbela Therapeutics Inc.,Lvospemin (SBP-101),Ovarian cancer,Phase 1,2024-04-18,AACR,unspecified,2024,UNKNOWN,0.49,,,,,,,,,,,,,,,,backtest,,,,,,,PBLA|2024-04-18,1989.0453,,,,nano,,-53.51,-22.83,-9.95,-11.03,-18.6,-14.73,-26.1,,
PFE,Pfizer Inc.,Elranatamab - (MagnetisMM-9),Multiple Myeloma,Phase 1/2,2024-05-23,ASCO,unspecified,2024,UNKNOWN,28.3,,,,,,,,,,,,,,,,backtest,,,,,,,PFE|2024-05-23,150265920000.0,,,,large,,12.38,17.18,5.04,2.35,-2.43,-3.18,-3.45,large,167731151942.43365
BPMC,Blueprint Medicines Corporation,BLU-222 - (VELA),(HR+/HER2-) breast cancer.,Phase 1,2024-05-23,ASCO,unspecified,2024,UNKNOWN,102.39,,,,,,,,,,,,,,,,backtest,,,,,,,BPMC|2024-05-23,5482387540.0,,,,mid,,11.34,13.2,-5.2,-3.69,0.1,2.77,0.61,,
