# pdufa.bio conference run-up study, 1,425 presentations 2017-2026. License: CC BY 4.0. Tier column is point-in-time market cap. Returns in percent, anchored on the meeting start date. Not investment advice.
ticker,company,conf,year,cap_tier_pit,runup_30d,runup_20d,runup_10d,runup_5d,event_day,post_5d,post_10d
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of),ISTH,2024,large,-5.76,-3.23,-6.46,-3.82,3.02,3.17,4.37
XOMA,XOMA Royalty Corporation,ISTH,2024,micro,3.21,-2.51,1.66,-3.28,0.29,1.84,0.45
AGIO,Agios Pharmaceuticals Inc.,EHA,2024,mid,27.71,28.45,0.64,-6.59,-3.51,1.31,-4.67
DCOY,Decoy Therapeutics Inc.,EHA,2024,nano,-15.71,-14.65,-11.52,1.2,-11.54,-27.51,-34.91
NRIX,Nurix Therapeutics Inc.,EHA,2024,small,18.78,-8.5,-5.42,-0.91,21.48,37.02,24.7
PTGX,Protagonist Therapeutics Inc.,EHA,2024,mid,34.49,7.55,22.02,-1.29,-5.47,-6.81,2.47
CRNX,Crinetics Pharmaceuticals Inc.,ENDO,2024,mid,3.35,-5.91,-13.6,-6.45,6.58,1.35,0.68
LUMO,Lumos Pharma Inc.,ENDO,2024,,-13.13,-23.99,-11.42,-8.16,0.89,7.11,2.22
SWTX,SpringWorks Therapeutics Inc.,ASCO,2024,,3.39,-8.09,-7.54,-2.17,-6.15,-3.59,-11.55
MRNA,Moderna Inc.,ASCO,2024,large,40.57,14.04,7.26,-14.44,1.96,4.24,-3.26
GMAB,Genmab A/S,ASCO,2024,,-1.74,-5.11,-5.94,0.71,1.06,-0.99,-8.58
GSK,GSK plc American Depositary Shares (Each representing two),ASCO,2024,large,12.63,2.92,-0.47,-0.78,-7.64,-7.77,-9.18
MRK,Merck & Company Inc.,ASCO,2024,large,-0.19,-1.54,-4.31,-3.05,2.53,4.74,1.56
REPL,Replimune Group Inc.,ASCO,2024,small,-18.29,-24.17,-18.17,0.96,-3.8,70.78,48.2
PFE,Pfizer Inc.,ASCO,2024,large,10.23,3.06,0.07,-0.76,2.9,-2.06,-5.86
PPBT,Purple Biotech Ltd.,ASCO,2024,micro,77.47,52.36,45.76,8.39,-23.22,-31.85,-33.13
GILD,Gilead Sciences Inc.,ASCO,2024,large,-3.73,-0.79,-5.09,-2.15,-0.17,1.52,0.0
ERAS,Erasca Inc.,ASCO,2024,small,40.78,17.76,27.92,-4.18,3.57,-9.52,-20.63
ADAP,Adaptimmune Therapeutics plc,ASCO,2024,,15.7,-5.04,1.8,7.62,-10.62,-7.96,-17.08
RYTM,Rhythm Pharmaceuticals Inc.,ENDO,2024,mid,-6.13,-18.46,-6.01,-2.94,8.13,14.94,15.36
RCUS,Arcus Biosciences Inc.,ASCO,2024,small,3.29,-4.01,-10.83,-6.51,6.17,6.77,7.5
AMGN,Amgen Inc.,ASCO,2024,large,13.73,-1.75,-2.12,0.0,0.5,-0.37,-0.84
CRBU,Caribou Biosciences Inc.,ASCO,2024,micro,-25.19,-23.61,-15.04,-3.03,-24.65,-34.72,-39.24
FLGT,Fulgent Genetics Inc.,ASCO,2024,small,1.42,-3.95,-6.6,-3.46,0.58,-1.36,-5.47
NBTX,Nanobiotix S.A.,ASCO,2024,small,30.13,15.41,-2.63,6.67,-6.25,-20.17,-31.39
MNOV,MediciNova Inc.,ASCO,2024,micro,-2.16,3.82,-4.23,1.49,2.94,-2.21,-2.21
BRNS,Barinthus Biotherapeutics plc American Depositary Shares,EASL,2024,micro,-25.88,-16.74,-12.09,-9.57,0.53,0.53,-33.86
ABUS,Arbutus Biopharma Corporation,EASL,2024,small,21.45,17.61,4.05,-0.6,0.0,-2.69,-11.68
VIR,Vir Biotechnology Inc.,EASL,2024,small,30.14,6.55,3.62,4.75,13.23,-0.95,-15.41
ALNY,Alnylam Pharmaceuticals Inc.,EASL,2024,large,2.53,-2.96,0.09,1.93,-0.31,6.2,5.1
GILD,Gilead Sciences Inc.,EASL,2024,large,-4.28,-1.99,-4.65,1.04,-0.48,0.28,6.75
AVIR,Atea Pharmaceuticals Inc.,EASL,2024,small,1.07,-4.31,4.43,6.8,0.8,0.27,-9.28
ALT,Altimmune Inc.,EASL,2024,small,-2.51,1.51,-4.16,7.74,-8.81,-13.55,-19.51
CUE,Cue Biopharma Inc.,ASCO,2024,micro,5.1,-20.67,-11.76,1.85,0.0,-10.91,-18.18
BMY,Bristol-Myers Squibb Company,ASCO,2024,large,-15.0,-4.85,-3.67,3.16,-1.27,2.99,-2.3
AZN,AstraZeneca PLC,ASCO,2024,,14.2,6.88,2.47,-0.04,1.05,1.62,0.23
ATRA,Atara Biotherapeutics Inc.,ASCO,2024,micro,-17.1,-8.25,-18.59,-5.49,0.21,-2.77,-31.7
VIGL,Vigil Neuroscience Inc.,AAN,2024,,-6.77,3.06,-6.77,-5.02,-9.24,-8.58,-12.54
ALXO,ALX Oncology Holdings Inc.,ASCO,2024,small,-31.86,-30.79,-25.19,-19.29,-21.26,-18.44,-30.57
SPRB,Spruce Biosciences Inc.,ENDO,2024,nano,5.87,-0.39,-1.19,6.17,-5.94,-7.02,-11.87
PGEN,Precigen Inc.,ASCO,2024,small,5.26,-1.41,1.45,2.94,17.86,21.43,16.43
