ticker,company,asset,indication,ta_bucket,pdufa_date,outcome,outcome_bin,v5_score,v5_tier,eve_price,eve_date,runup_30d,runup_21d,runup_14d,runup_7d,runup_5d,runup_3d,post_1d,post_2d,post_5d,vol_ratio,mcap_tier,cache_key,T-90_T-7,T-90_T-3,T-90_T-1,T-60_T-7,T-60_T-3,T-60_T-1,T-45_T-7,T-45_T-3,T-45_T-1,T-25_T-7,T-25_T-3,T-25_T-1,v9_score,v9_tier,therapeutic_area,crl_rate,ta_risk,mcap,T-120_T-1,T-120_T-7,T-120_T-3,T-120_peak
CVM,Cel-Sci Corporation,Multikine - (IT-MATTERS),Head and Neck cancer,LOW,2022-10-17,CRL,0,0.1864,T4,94.8000030517578,2022-10-14,-23.486681287927983,-6.508874136887137,-4.242421159840593,0.0,0.9584680631031356,0.0,4.4303763850610025,0.6329097624538192,-5.063294195399089,0.646641646345872,Mid ($2B-$10B),CVM_20221017,,,,-0.08900521015753368,-0.17277483146594025,-0.1544502372069332,-0.1654676035229873,-0.2422062013744254,-0.22541964262354328,-0.17142855931842138,-0.24761902339874753,-0.23095236884223092,0.26183,T4,Oncology,0.4037433155080214,HIGH_CRL,mid,0.097222,0.173611,0.121528,0.815972
GSK,GSK plc American Depositary Shares (Each representing two),Menveo (Meningococcal Oligosaccharide Diptheria CRM197 Conjugate Vaccine),Meningococcal disease,MOD,2022-10-17,APPROVAL,1,0.909,T1,26.75160026550293,2022-10-14,-0.3892375110872607,6.557941001931036,1.520651722150652,1.7224036715252915,1.1195246347906045,0.0,1.921216169669866,1.7583989439838446,3.777279781609881,0.8466591261321396,Large (>$10B),GSK_20221017,,,,-0.26554794443075963,-0.27798407968577454,-0.2669828065801005,-0.13794094918215735,-0.15253779437101228,-0.1396251107188237,-0.0370022618756712,-0.05330825493645113,-0.038883622263810515,0.897628,T1,Other,0.3947368421052631,HIGH_CRL,large,-0.464049,-0.469284,-0.468935,0.000000
NVAX,Novavax Inc.,NVX-CoV2373 - (PREVENT-19),COVID-19 vaccine (booster),VERY_HIGH,2022-10-19,APPROVAL,1,0.9021,T1,18.6200008392334,2022-10-18,-34.505801479560446,-5.048443346786901,-0.4278070611879456,-8.003947382432546,-5.338074392414435,-5.338074392414435,-3.705695504608931,-7.733622283321568,21.267448474699925,1.2132385749791617,Micro ($50M-$300M),NVAX_20221019,,,,-0.6742929117205082,-0.6353810055283906,-0.6339398250901808,-0.572576826245767,-0.5215129991448044,-0.5196217479592496,-0.45212121443314984,-0.38666667360247986,-0.3842424334901752,0.929302,T1,Infectious Disease,0.1452991452991453,LOW_CRL,micro,-0.607339,-0.656263,-0.551244,0.605230
ABBV,AbbVie Inc.,RINVOQ (upadacitinib) - (SELECT-AXIS 2),Non-radiographic axial spondyloarthritis,VERY_HIGH,2022-10-21,APPROVAL,1,0.952,T1,127.03553009033205,2022-10-20,2.903818419404168,7.580910521023205,4.05328996925795,-0.0070081806546829,-0.0070081806546829,-1.1549473932162668,2.889512642665059,5.569179524756797,7.395265849372652,0.6987440800389189,Large (>$10B),ABBV_20221021,,,,-0.08325060705531388,-0.04292120166835031,-0.03307870958961175,-0.029744220254182958,0.0129390244488484,0.02335597688971542,-0.0015883534849226602,0.04233351692508787,0.05305275906233125,0.921926,T1,Immunology,0.0789473684210526,LOW_CRL,large,-0.026893,-0.036560,-0.016816,0.058483
AZN,AstraZeneca PLC,IMFINZI (Durvalumab) + tremelimumab  - (HIMALAYA),Hepatocellular carcinoma (HCC),LOW,2022-10-24,APPROVAL,1,0.9397,T1,102.11705017089844,2022-10-21,0.7145445071286276,-1.0441071215092277,1.4019633274624623,-2.153792844814541,0.8438914253859375,0.0,0.3820186741773397,1.6918364764029576,6.803700886221761,0.7516442842682153,Large (>$10B),AZN_20221024,,,,-0.15913357961627994,-0.14575263083055578,-0.17357889437953689,-0.17671585182344557,-0.16361469478375568,-0.19085911925774643,-0.047372988779266136,-0.032213561621709845,-0.06373824810640698,0.919721,T1,Oncology,0.4053333333333333,HIGH_CRL,large,-0.172512,-0.171007,-0.157459,0.027548
NRIX,Nurix Therapeutics Inc.,NX-2127,"B-cell malignancies, chronic lymphocytic leukemia (CLL)",LOW,2022-10-26,CRL,0,0.1864,T4,12.010000228881836,2022-10-25,-2.595293566944612,-4.984177985198582,9.780627875134211,9.380698812267203,5.6288509214112805,5.6288509214112805,0.4995792239711633,1.748543165236261,9.82514012500836,0.9451893880626788,Micro ($50M-$300M),NRIX_20221026,,,,-0.28617779955090045,-0.28747568780279625,-0.2673588531054384,-0.29936304881300047,-0.3006369633357171,-0.28089171343872305,-0.25625422390996283,-0.2576065199082899,-0.23664638330137547,0.262025,T4,Oncology,0.403183023872679,HIGH_CRL,micro,0.035345,-0.062931,-0.053448,0.707759
JNJ,Johnson & Johnson,TECVAYLI (teclistamab),Relapsed or refractory (R/R) multiple myeloma.,LOW,2022-10-26,APPROVAL,1,0.968,T1,154.00987243652344,2022-10-25,3.0235350173359614,3.3916807995663225,4.929612826100313,3.655329393416753,1.1854503830247451,1.1854503830247451,0.8786814794250897,0.9372655288104624,1.394177520270844,0.9468813235368084,Large (>$10B),JNJ_20221026,,,,-0.043990246886456356,-0.0466533199709725,-0.010241865780333283,-0.014559393778592862,-0.017304449826683013,0.020227934517899025,-0.006795765633103926,-0.009562448143774726,0.028265628780984427,0.945,T1,Oncology,0.4042553191489361,HIGH_CRL,large,-0.052664,-0.087347,-0.083740,0.011598
SNY,Sanofi,DUPIXENT (dupilumab) - (PRIME2),Prurigo nodularis (PN),MOD,2022-10-27,APPROVAL,1,0.9106,T1,37.051570892333984,2022-10-26,12.43954239059517,7.583546646670042,4.834678515233486,5.601811513290294,3.4866482753800394,2.523275514558735,-0.6451558435956007,2.867377608233713,2.604540151821603,0.8389750290919753,Large (>$10B),SNY_20221027,,,,-0.19059310804716725,-0.18957055657991823,-0.16523524146753274,-0.03369138051662431,-0.03247060971952357,-0.003417947844842504,-0.024883078436646867,-0.023651179809643267,0.005666309074607942,0.886185,T1,Other,0.3926701570680628,HIGH_CRL,large,-0.187063,-0.214452,-0.214452,0.093434
GILD,Gilead Sciences Inc.,Hepcludex (Bulevirtide) - (MYR301),Hepatitis delta virus (HDV),VERY_HIGH,2022-10-27,CRL,0,0.9294,T1,63.20335006713867,2022-10-26,13.076814719196042,9.037729824269528,6.560347581509116,7.043519547626137,4.469684401957211,2.637693698042328,-0.8754809387206799,11.93165004252981,9.96891126162674,1.0007495171641243,Large (>$10B),GILD_20221027,,,,0.12282583696646664,0.12265609744551138,0.1708476785841025,0.039782790489687345,0.03962560472948783,0.08425298598905441,0.005317512720689513,0.005165537136053742,0.04831367185943793,0.941374,T1,Infectious Disease,0.1440677966101695,LOW_CRL,large,0.154360,0.081989,0.104971,0.154360
REGN,Regeneron Pharmaceuticals Inc.,DUPIXENT (dupilumab) - (PRIME2),Prurigo nodularis (PN),MOD,2022-10-27,APPROVAL,1,0.8316,T2,729.0546875,2022-10-26,5.607113731575742,0.2896644694707083,-2.468906372425902,3.9793622654501184,2.811284801076517,-0.4300531916888893,-1.2398165164650286,2.2861686125012057,0.8855880099443844,1.0100918147059588,Large (>$10B),REGN_20221027,,,,0.2763752030783843,0.2240585245078729,0.278265362432915,0.2025160244344391,0.15322672127773845,0.20429680715967213,0.028965116652633523,-0.013210598715662245,0.030488891194818256,0.752292,T2,Other,0.390625,HIGH_CRL,large,0.147974,0.151071,0.116584,0.177034
AMRX,Amneal Pharmaceuticals Inc.,Leuprolide Acetate Injection,Advanced prostatic cancer,LOW,2022-11-02,APPROVAL,1,0.8431,T2,2.3299999237060547,2022-11-01,12.019231210093542,14.778322982482576,6.392687800350247,0.8658000615553437,-0.4273500354724066,-0.4273500354724066,-9.442061622916343,-10.729614085238024,0.0,1.0509678387435604,Nano (<$50M),AMRX_20221102,,,,-0.30990415116438147,-0.26198087593611663,-0.29712461110351085,-0.1183673290648299,-0.05714289884873023,-0.10204081434053666,0.0,0.0694443754575898,0.01851850012202395,0.895882,T1,Oncology,0.4047619047619047,HIGH_CRL,nano,-0.285276,-0.349693,-0.315951,0.134969
GILD,Gilead Sciences Inc.,Vemlidy (tenofovir alafenamide),Hepatitis B virus (HBV) infection in pediatric patients 12 years of age and older,VERY_HIGH,2022-11-02,APPROVAL,1,0.9294,T1,70.8070297241211,2022-11-01,27.31064898009575,21.333549831854125,19.867049725195457,12.030500992281745,0.0883136715257699,0.0883136715257699,-1.8402039733777804,0.1512474276246525,3.6425449090214994,1.6896966386876702,Large (>$10B),GILD_20221102,,,,0.08620612022456463,0.16271337351979112,0.2881456818848433,0.0714219431233332,0.14688786847795524,0.27061293783324947,0.06127698459473193,0.13602834675792508,0.25858190221469046,0.941793,T1,Infectious Disease,0.1512605042016806,LOW_CRL,large,0.310106,0.119386,0.159181,0.310106
PDSB,PDS Biotechnology Corporation,PDS0101 and chemoradiotherapy - (IMMUNOCERV),Cervical cancer,LOW,2022-11-07,CRL,0,0.1864,T4,4.980000019073486,2022-11-04,49.5495535486709,22.05882627933776,1.4256654549240284,-4.961827545828239,-1.7751508785136525,0.0,6.626504466709824,12.04819080993089,12.44979685109381,0.8152884562199236,Micro ($50M-$300M),PDSB_20221107,,,,0.0018484711948041142,-0.03142330519200761,-0.049907576440259796,0.29355608646206977,0.25059658700679077,0.22673026164475588,0.8249158330244729,0.7643096702494476,0.7306396690140059,0.197861,T4,Oncology,0.4052631578947368,HIGH_CRL,micro,-0.033010,-0.001942,0.067961,0.124272
PFE,Pfizer Inc.,ADCETRIS (brentuximab vedotin),Previously untreated high risk classical Hodgkin lymphoma (cHL),LOW,2022-11-10,APPROVAL,1,0.9672,T1,38.62875747680664,2022-11-09,12.40560248790282,9.812201267737414,3.0179739015900986,0.322079314730933,-1.0589102358228737,-0.7857545611887333,1.412678296913472,1.883571062551296,2.8467464464058283,0.8967166310863274,Large (>$10B),PFE_20221110,,,,-0.04663309263829738,-0.05589661371725066,-0.04535468183349999,0.03649473522257968,0.02642349113615612,0.037884615717059054,0.07453542653975975,0.06409455482817576,0.07597631743792141,0.947276,T1,Oncology,0.4083769633507853,HIGH_CRL,large,-0.077591,-0.080948,-0.067720,0.065943
AZN,AstraZeneca PLC,IMFINZI (Durvalumab) + tremelimumab,Non-small cell lung cancer (NSCLC),LOW,2022-11-11,APPROVAL,1,0.9468,T1,120.91682434082033,2022-11-10,18.19501688190216,18.4100247103294,10.866967837071382,6.72239991919464,6.72239991919464,6.130760503749811,-3.5642865300297,-1.812861659645109,-1.5824216455367943,1.0324698299743522,Large (>$10B),AZN_20221111,,,,-0.11881932525205882,-0.08615524425847902,-0.08450705612085531,-0.02648573593968867,0.009601016392649101,0.01142190818909102,0.03103081120841155,0.06924961796313438,0.07117809052416092,0.79291,T2,Oncology,0.4073107049608355,HIGH_CRL,large,-0.016916,-0.096058,-0.077179,0.030962
PDSB,PDS Biotechnology Corporation,PDS0101 and chemoradiotherapy - (IMMUNOCERV),Cervical cancer,LOW,2022-11-14,CRL,0,0.115,T4,5.599999904632568,2022-11-11,40.35087446736005,14.0529547589321,6.870231855708342,5.461392937439952,5.660371756630241,0.0,26.07142969661832,55.00000808920193,54.46428153283735,0.9147620491057896,Micro ($50M-$300M),PDSB_20221114,,,,0.1387163740946511,0.09937888750631341,0.14492759775556793,0.288056211842558,0.24355971112378458,0.2950820221335079,0.6516516894928,0.5945946139451818,0.660660761713727,0.033065,T4,Oncology,0.40625,HIGH_CRL,micro,0.111111,0.005952,0.107143,0.148810
ABBV,AbbVie Inc.,ELAHERE (mirvetuximab soravtansine-gynx),Platinum-Resistant Ovarian Cancer,LOW,2022-11-14,APPROVAL,1,0.9397,T1,133.46151733398438,2022-11-11,5.051054626095847,-0.483817547206714,2.568283896742348,1.3909276541187696,1.7206203113651837,0.0,1.0522453808560053,1.9179825974494584,3.2099457910985083,0.9678145949338088,Large (>$10B),ABBV_20221114,,,,0.04620976427349786,0.054684240042536816,0.06622121517735025,0.04939087108332268,0.05789111435472987,0.06946316883158292,0.06950757037242102,0.07817076230527269,0.08996465170225192,0.922234,T1,Oncology,0.4077922077922078,HIGH_CRL,large,0.014389,-0.023711,0.003378,0.041275
SNY,Sanofi,TZIELD (teplizumab-mzwv),Type 1 diabetes,HIGH,2022-11-17,APPROVAL,1,0.8525,T1,38.83110809326172,2022-11-16,9.513108533645182,5.483398036762822,2.380943281112995,-1.015589302107989,2.4766317035676857,1.5042749224558922,-0.3419867413826944,1.4819818412624313,2.69038018370932,1.2014257550873984,Large (>$10B),SNY_20221117,,,,0.06494153501960649,0.08178733047143844,0.054931740450979344,0.051337600242260674,0.06796820162468765,0.04145567428234896,0.11560114944922684,0.13324830485772002,0.10511518570446081,0.677495,T2,Metabolic/Endocrine,0.2,LOW_CRL,large,-0.209730,-0.217117,-0.228829,0.000000
