ticker,best_date,date_source,confidence,guided_date,guided_precision,guided_form,guided_filed,pcd,pcd_type,days_to_pcd,bucket,status,phase,enroll,enroll_type,nct,company,title
CRBP,2026-07-02,CTGOV,medium,,,,,2026-07-02,ESTIMATED,-31,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE1,252,ESTIMATED,NCT07310901,"Corbus Pharmaceuticals Holdings, Inc.","A 2-part, Phase 1b Clinical Study Designed to Evaluate the Safety, PK,"
AZTR,2026-07-07,CTGOV,medium,,,,,2026-07-07,ACTUAL,-26,REPORTED/IMMINENT,COMPLETED,PHASE1,6,ACTUAL,NCT06137157,"Azitra, Inc.",Evaluation of Topical ATR12-351 in Adults With Netherton Syndrome
REGN,2026-07-09,CTGOV,medium,,,,,2026-07-09,ACTUAL,-24,REPORTED/IMMINENT,COMPLETED,PHASE3,9,ACTUAL,NCT06548100,"REGENERON PHARMACEUTICALS, INC.",A Study of the Safety of Mibavademab in Pediatric and Adult Participan
LTRN,2026-07-28,CTGOV,medium,,,,,2026-07-28,ESTIMATED,-5,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",64,ACTUAL,NCT05933265,Lantern Pharma Inc.,Study of LP-184 in Patients With Advanced Solid Tumors
ALT,2026-07-30,CTGOV,medium,,,,,2026-07-30,ACTUAL,-3,REPORTED/IMMINENT,COMPLETED,PHASE2,100,ACTUAL,NCT06987513,"Altimmune, Inc.",RECLAIM STUDY: Phase 2 Study of the Efficacy and Safety of Pemvidutide
BNTX,2026-07-31,CTGOV,medium,,,,,2026-07-31,ESTIMATED,-2,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,5240,ACTUAL,NCT07300839,BioNTech SE,A Study to Learn About a COVID-19 Vaccine in Healthy Adults 50 Through
DFTX,2026-07-31,CTGOV,medium,,,,,2026-07-31,ESTIMATED,-2,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,214,ACTUAL,NCT06741228,"Definium Therapeutics, Inc.",A Phase 3 Trial of DT120 for Generalized Anxiety Disorder (Voyage)
ELVN,2026-07-31,CTGOV,medium,,,,,2026-07-31,ESTIMATED,-2,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE1,198,ESTIMATED,NCT05650879,"Enliven Therapeutics, Inc.",ELVN-002 in HER2 Mutant Non-Small Cell Lung Cancer
GLUE,2026-07-31,CTGOV,medium,,,,,2026-07-31,ESTIMATED,-2,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE1,100,ESTIMATED,NCT07119125,"Monte Rosa Therapeutics, Inc.","A First-in-human, 3-part Study of MRT-8102 in Healthy Participants and"
IOVA,2026-07-31,CTGOV,medium,,,,,2026-07-31,ESTIMATED,-2,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE1,40,ESTIMATED,NCT06566092,"IOVANCE BIOTHERAPEUTICS, INC.","Study of Autologous Tumor-Infiltrating Lymphocytes in Pediatric, Adole"
JAZZ,2026-07-31,CTGOV,medium,,,,,2026-07-31,ESTIMATED,-2,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,920,ACTUAL,NCT05152147,Jazz Pharmaceuticals plc,A Study of Zanidatamab in Combination With Chemotherapy Plus or Minus 
RARE,2026-07-31,CTGOV,medium,,,,,2026-07-31,ESTIMATED,-2,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,129,ACTUAL,NCT06617429,Ultragenyx Pharmaceutical Inc.,Phase 3 Efficacy and Safety Study of GTX-102 in Pediatric Subjects Wit
SION,2026-07-31,CTGOV,medium,,,,,2026-07-31,ESTIMATED,-2,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE2,16,ESTIMATED,NCT07108153,"Sionna Therapeutics, Inc.","Proof-of-concept Study to Evaluate the Safety, Tolerability, Pharmacod"
STTK,2026-07-31,CTGOV,medium,,,,,2026-07-31,ESTIMATED,-2,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE1,72,ESTIMATED,NCT07158437,"Shattuck Labs, Inc.",Phase 1 Study of SL-325 in Healthy Volunteers
SYRE,2026-08-19,CTGOV,medium,,,,,2026-08-19,ESTIMATED,17,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE1,50,ACTUAL,NCT06672718,"Spyre Therapeutics, Inc.",A Study of SPY002-091 in Healthy Volunteers
CLRB,2026-08-25,CTGOV,medium,,,,,2026-08-25,ESTIMATED,23,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE1,30,ESTIMATED,NCT03478462,"Cellectar Biosciences, Inc.",Dose Escalation Study of CLR 131 in Pediatric Relapsed/Refractory Mali
