ticker,catalyst_date,asset,indication
ANAB,2021-04-22,JEMPERLI (Dostarlimab),dMMR endometrial cancer
GSK,2021-04-22,JEMPERLI (Dostarlimab),dMMR endometrial cancer
BMY,2021-04-16,OPDIVO (nivolumab),Gastric cancer
GILD,2021-04-13,TRODELVY (sacituzumab govitecan),Urothelial Cancer
BMY,2021-04-10,OPDIVO (Nivolumab) and YERVOY (ipilimumab) - (CheckMate 816),Non-Small Cell Lung Cancer (NSCLC)
AFMD,2021-04-09,AFM13 + NK cells (AFM13-104),CD30-positive lymphomas
BPTH,2021-04-05,Prexigebersen + DACOGEN (decitabine) + VENCLEXTA (venetoclax),Acute myeloid leukemia (AML) and myelodysplastic syndrome (MDS)
ACAD,2021-04-05,NUPLAZID (pimavanserin),Alzheimer’s disease psychosis (ADP)
SUPN,2021-04-02,QELBREE - viloxazine extended-release,ADHD
UTHR,2021-04-01,TYVASO (treprostinil),Pulmonary hypertension associated with interstitial lung disease (PH-ILD) (WHO Group 3)
REGN,2021-04-01,PRALUENT (alirocumab),Homozygous familial hypercholesterolemia (HoFH)
SNY,2021-03-31,SARCLISA (isatuximab),Refractory Multiple Myeloma
JAZZ,2021-03-30,VYXEOS (daunorubicin and cytarabine),Acute myeloid leukemia
MRK,2021-03-29,KEYTRUDA (pembrolizumab) - (KEYNOTE-522),Triple negative breast cancer (TNBC)
BLUE,2021-03-26,ABECMA (idecabtagene vicleucel),Relapsed/refractory multiple myeloma
BMY,2021-03-26,ABECMA (idecabtagene vicleucel),Relapsed/refractory multiple myeloma
MRK,2021-03-23,KEYTRUDA (pembrolizumab) + chemo,Esophageal Cancer
PCRX,2021-03-22,EXPAREL - pediatric patients,Postoperative Pain Management
ZLDPF,2021-03-22,Dasiglucagon,Severe hypoglycemia in diabetes
KNSA,2021-03-18,ARCALYST (rilonacept),Pericarditis
GILD,2021-03-05,YESCARTA - Axicabtagene ciloleucel - (ZUMA-5),Indolent B-Cell Non-Hodgkin Lymphoma
RHHBY,2021-03-04,ACTEMRA (tocilizumab),Systemic sclerosis-associated interstitial lung disease (SSc-ILD)
PFE,2021-03-03,LORBRENA (lorlatinib),Anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC)
SCYX,2021-03-02,SCY-078 (oral) - (CARES),Candida Auris
ZVRA,2021-03-02,AZSTARYS,ADHD
MRK,2021-03-01,KEYTRUDA (pembrolizumab),Small cell lung cancer (SCLC)
CRMD,2021-03-01,DEFENCATH (Neutrolin),Hemodialysis patients with central venous catheters
ATNXQ,2021-03-01,Oraxol (Oral Paclitaxel),Metastatic breast cancer
JNJ,2021-02-27,JNJ-78436735 (Ad26.COV2-S) -  (ENSEMBLE),COVID-19 vaccine (single dose)
BBIO,2021-02-26,Fosdenopterin (BBP-870/ORGN001),Molybdenum cofactor deficiency type A
SRPT,2021-02-25,AMONDYS 45 (casimersen),Duchenne muscular dystrophy
REGN,2021-02-22,LIBTAYO (cemiplimab),Non-small cell lung cancer (NSCLC)
SNY,2021-02-22,LIBTAYO (cemiplimab),Non-small cell lung cancer (NSCLC)
PFE,2021-02-12,PANZYGA,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP)
REGN,2021-02-11,EVKEEZA (evinacumab),Homozygous familial hypercholesterolemia (HoFH)
ABBV,2021-02-10,BOTOX,Neurogenic Detrusor Overactivity
SNY,2021-02-09,LIBTAYO (cemiplimab),Basal cell carcinoma (BCC)
REGN,2021-02-09,LIBTAYO (cemiplimab),Basal cell carcinoma (BCC)
TGTX,2021-02-05,UKONIQ (umbralisib),Follicular lymphoma (FL)
TGTX,2021-02-05,UKONIQ (umbralisib),Marginal zone lymphoma (MZL)
BMY,2021-02-05,BREYANZI (lisocabtagene maraleucel),Relapsed or refractory (R/R) large B-cell lymphoma
BHC,2021-02-02,POSIMIR,Post-operative pain relief
AMGN,2021-02-02,NPLATE (Romiplostim),Hematopoietic Syndrome of Acute Radiation Syndrome
AUPH,2021-01-22,LUPKYNIS (Voclosporin),Lupus
BMY,2021-01-22,CABOMETYX (cabozantinib) with OPDIVO (nivolumab) and YERVOY (ipilimumab) - (CheckMate 9ER),First-line renal cell carcinoma
EXEL,2021-01-22,CABOMETYX (cabozantinib) with OPDIVO (nivolumab) and YERVOY (ipilimumab) - (CheckMate 9ER),First-line renal cell carcinoma
PFE,2021-01-21,JULUCA (dolutegravir and rilpivirine),HIV
GSK,2021-01-21,JULUCA (dolutegravir and rilpivirine),HIV
MRK,2021-01-20,VERQUVO (vericiguat),Heart Failure
AZN,2021-01-18,ENHERTU (trastuzumab deruxtecan) - (DESTINY-Gastric01/02),Gastric cancer
JNJ,2021-01-15,DARZALEX (Daratumumab) using ENHANZE,Amyloidosis
HALO,2021-01-15,DARZALEX (Daratumumab) using ENHANZE,Amyloidosis
GMAB,2021-01-15,DARZALEX (Daratumumab) using ENHANZE,Amyloidosis
PFE,2021-01-14,XALKORI (crizotinib),ALK-positive Anaplastic Large Cell Lymphoma
VRTX,2020-12-21,TRIKAFTA (elexacaftor/tezacaftor/ivacaftor and ivacaftor),Cystic fibrosis
AZN,2020-12-21,TAGRISSO (Osimertinib) - (ADAURA),Non-small Cell Lung Carcinoma
ALNY,2020-12-18,Leqvio (inclisiran),Hypercholesterolemia
