loe,brand,ingredient,company,appl_no,n_patents,substance_patent,approval_date,therapeutic_family,atc_code
2029-03-10,DEXILANT SOLUTAB,DEXLANSOPRAZOLE,TAKEDA PHARMACEUTICALS USA INC,208056,7,False,"Jan 26, 2016",Metabolism & digestive,A02BC
2029-03-11,QUARTETTE,ETHINYL ESTRADIOL; LEVONORGESTREL,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,204061,1,False,"Mar 28, 2013",Genitourinary & hormones,G03AA
2029-03-12,VIRAMUNE XR,NEVIRAPINE,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,201152,1,False,"Mar 25, 2011",Infectious disease,J05AG
2029-03-12,NITROLINGUAL,NITROGLYCERIN,POHL BOSKAMP,018705,1,False,"Oct 31, 1985",Cardiovascular,C01DA
2029-03-12,TIGLUTIK KIT,RILUZOLE,ITALFARMACO SA,209080,1,False,"Sep 5, 2018",Neurology & psychiatry,N07XX
2029-03-13,OLEPTRO,TRAZODONE HYDROCHLORIDE,ANGELINI PHARMA INC,022411,4,True,"Feb 2, 2010",Neurology & psychiatry,N06AX
2029-03-13,TUDORZA PRESSAIR,ACLIDINIUM BROMIDE,AZURITY PHARMACEUTICALS INC,202450,2,False,"Jul 23, 2012",Respiratory,R03BB
2029-03-13,DUAKLIR PRESSAIR,ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,AZURITY PHARMACEUTICALS SWITZERLAND GMBH,210595,2,False,"Mar 29, 2019",Respiratory,R03AC
2029-03-13,DESYREL,TRAZODONE HYDROCHLORIDE,PRAGMA PHARMACEUTICALS LLC,018207,4,True,"Approved Prior to Jan 1, 1982",Neurology & psychiatry,N06AX
2029-03-13,RALDESY,TRAZODONE HYDROCHLORIDE,KAMAT PHARMATECH LLC,218637,1,True,"Nov 26, 2024",Neurology & psychiatry,N06AX
2029-03-14,SUPRENZA,PHENTERMINE HYDROCHLORIDE,CITIUS PHARMACEUTICALS LLC,202088,3,False,"Jun 13, 2011",Metabolism & digestive,A08AA
